seed,index,position,primaryPosition,archetypeId,backgroundId,mode,policy,truePotential,baseOvrStart,peakOvr,peakOvrAge,finalOvr,seasons,retiredAge,status,finalChoice,retireReason,clubs,firstTier,bestTier,seasonsInTier1,seasonsInTier2,seasonsInTier3,totalApps,totalMinutes,totalGoals,totalAssists,avgRatingTenths,injuries,severeInjuries,contracts,peakWageMinorPerWeek,totalIncomeMinor,nationalCallUps,captainSeasons,legacyScore,legacyBandId,legacyEndingId,commands,stateHash
jev-pilot-20260920:GK:0,0,GK,GK,gk-shot-stopper,school,FAST,random,68,65,68,28,68,10,29,RETIRED,RETIRE,CAP,4,2,2,0,10,0,285,16540,0,0,67,9,4,4,1200000,514400000,1,0,72,BAND-REMEMBERED,END-NATIONAL-HERO,150,1051af1af9abcd9135fb61352f9d20ad975759e2257abc5465be8d80ec749259
jev-pilot-20260920:DF:1,1,DF,CB,cb-stopper,street,FAST,random,73,62,71,27,70,10,29,RETIRED,RETIRE,CAP,4,2,1,4,6,0,269,6455,0,0,62,3,0,4,2000000,756200000,4,0,41,BAND-SOLID,END-COMPLETE-SHORT,156,cce29973c19dbacd320acbd40f343bfaac22baae234eb9145f8978ce879fa344
jev-pilot-20260920:MF:2,2,MF,CM,am-playmaker,street,FAST,random,75,62,72,28,72,10,29,RETIRED,RETIRE,CAP,5,2,2,0,9,1,286,7440,0,18,63,10,2,5,1000000,460400000,0,0,49,BAND-SOLID,END-COMEBACK-PLAYER,131,bc05ae7207f1dd0c4c08b0f7e9a57f50ddaaa217a541364eb29140e5d5d7473f
jev-pilot-20260920:FW:3,3,FW,W,w-touchline-winger,school,FAST,random,65,60,64,28,64,10,29,RETIRED,RETIRE,CAP,2,2,2,0,10,0,285,7995,30,10,64,17,10,2,840000,373440000,0,0,40,BAND-SOLID,END-COMEBACK-PLAYER,139,eaba60f5803ef3893d4878329496fba5048775ee153013a87c0fe900ef00b24d
jev-pilot-20260920:GK:4,4,GK,GK,gk-commander,club-academy,FAST,random,64,63,64,28,64,10,29,RETIRED,RETIRE,CAP,6,3,1,4,0,6,293,2845,0,0,63,4,2,6,1200000,376000000,0,0,23,BAND-COMPLETE,END-COMPLETE-SHORT,98,0a19aeb8b0c7e5c59e279f8298e561c1aebc0914d71ad6bf27fe61afc0ebe416
jev-pilot-20260920:DF:5,5,DF,CB,cb-ball-playing,school,FAST,random,79,59,72,28,72,10,29,RETIRED,RETIRE,CAP,3,2,1,3,7,0,280,6460,0,0,65,6,4,3,2000000,632520000,4,0,44,BAND-SOLID,END-COMEBACK-PLAYER,128,fb68dc9885cc9d71b43f08f804b01de7f1a8acf7b614df2d6761a471041eb3f9
jev-pilot-20260920:MF:6,6,MF,DM,dm-box-to-box,street,FAST,random,64,55,62,27,61,10,29,RETIRED,RETIRE,CAP,5,2,2,0,10,0,279,5295,0,6,63,14,7,5,700000,378160000,0,0,34,BAND-SOLID,END-COMPLETE-SHORT,144,cf586b849181de5def3eadbf6a9c5e0c38adc10762c092e25d93af354a07da74
jev-pilot-20260920:FW:7,7,FW,W,w-inverted-winger,street,FAST,random,78,58,73,28,73,10,29,RETIRED,RETIRE,CAP,2,3,1,2,0,8,304,11865,41,27,65,14,4,2,2000000,451820000,3,0,60,BAND-REMEMBERED,END-COMEBACK-PLAYER,159,ed6998cd25559f036703d36c5935bc31df2abcf35ea1daf8a11a205baaab2d72
jev-pilot-20260920:GK:8,8,GK,GK,gk-sweeper-keeper,street,FAST,random,76,62,70,28,70,10,29,RETIRED,RETIRE,CAP,3,3,1,2,0,8,312,4130,0,0,64,8,3,3,2000000,446260000,2,0,33,BAND-SOLID,END-COMPLETE-SHORT,122,adbbd3ce262c2a9c93f7b4c94ca71847145a170bdbb019e041073c634a3835de
jev-pilot-20260920:DF:9,9,DF,CB,cb-stopper,club-academy,FAST,random,77,63,72,28,72,10,29,RETIRED,RETIRE,CAP,7,3,1,4,4,2,280,6875,0,0,64,6,1,7,2000000,758200000,4,0,35,BAND-SOLID,END-COMPLETE-SHORT,131,334cd6d162d55b293b9bcf59cdf80c7161d5f92293fdba13dd60db21d85af6a3
jev-pilot-20260920:MF:10,10,MF,CM,cm-playmaker,street,FAST,random,64,62,64,28,64,10,29,RETIRED,RETIRE,CAP,2,2,2,0,10,0,277,15050,0,28,64,15,6,2,840000,406560000,0,0,67,BAND-REMEMBERED,END-COMEBACK-PLAYER,164,659e98427e3e1bb63deac50e0178b7ec07375883393bd9cb063377068ed0aa07
jev-pilot-20260920:FW:11,11,FW,W,inside-forward,school,FAST,random,82,60,71,28,71,10,29,RETIRED,RETIRE,CAP,6,2,1,1,3,6,302,5015,11,15,62,11,4,6,2000000,394220000,1,0,27,BAND-COMPLETE,END-COMEBACK-PLAYER,129,1c07dbdf1ff9742dd810f0f757b876c75e33c4d41af01f67de7f75438fd39a09
jev-pilot-20260920:GK:12,12,GK,GK,gk-commander,school,FAST,random,65,64,65,28,65,10,29,RETIRED,RETIRE,CAP,7,2,1,4,1,5,293,5960,0,0,67,6,2,7,1200000,413660000,1,0,32,BAND-SOLID,END-COMPLETE-SHORT,130,0ab63dfd38470ab6a6e2ba7614a5d7826cfeff7c96448e553d5264228e72c36d
