seed,index,position,primaryPosition,archetypeId,backgroundId,mode,policy,truePotential,baseOvrStart,peakOvr,peakOvrAge,finalOvr,seasons,retiredAge,status,finalChoice,retireReason,clubs,firstTier,bestTier,seasonsInTier1,seasonsInTier2,seasonsInTier3,totalApps,totalMinutes,totalGoals,totalAssists,avgRatingTenths,injuries,severeInjuries,contracts,peakWageMinorPerWeek,totalIncomeMinor,nationalCallUps,captainSeasons,legacyScore,legacyBandId,legacyEndingId,commands,stateHash
jev-pilot-20260920:GK:0,0,GK,GK,gk-shot-stopper,school,FAST,random,68,65,68,28,68,10,29,RETIRED,RETIRE,CAP,3,2,2,0,10,0,284,9160,0,0,68,7,5,3,1000000,498000000,0,0,51,BAND-SOLID,END-COMEBACK-PLAYER,138,979acec72f04838407a121a4aef99e21b3eb2ebc8877fb51a77476e0529ab7da
jev-pilot-20260920:DF:1,1,DF,CB,cb-stopper,street,FAST,random,73,62,72,28,72,10,29,RETIRED,RETIRE,CAP,4,2,1,4,6,0,270,7790,0,0,63,1,0,4,2000000,756200000,4,0,36,BAND-SOLID,END-COMPLETE-SHORT,156,960b4228e165b9953ae5b0732ec3b3ce6c52272d36ccd5703277d18179995667
jev-pilot-20260920:MF:2,2,MF,CM,am-playmaker,street,FAST,random,75,62,71,28,71,10,29,RETIRED,RETIRE,CAP,5,2,1,4,5,1,271,5365,0,14,64,7,4,5,2000000,744400000,4,0,34,BAND-SOLID,END-COMEBACK-PLAYER,130,318e99226720ed65f489e564c336aeda64909cb7022e4e18712592be5b104594
jev-pilot-20260920:FW:3,3,FW,W,w-touchline-winger,school,FAST,random,65,60,65,28,65,10,29,RETIRED,RETIRE,CAP,2,2,2,0,3,7,315,8895,19,17,63,17,8,2,700000,241840000,0,0,42,BAND-SOLID,END-COMPLETE-SHORT,119,35f78dde9be97a00b65df4ef92f196d3564812c76ba0c033413fc96fbcb1b7d9
jev-pilot-20260920:GK:4,4,GK,GK,gk-commander,club-academy,FAST,random,64,63,64,28,64,10,29,RETIRED,RETIRE,CAP,6,3,1,4,0,6,291,2870,0,0,63,4,2,6,1200000,376000000,0,0,24,BAND-COMPLETE,END-COMPLETE-SHORT,100,111c73d4596fd18466b3ca6145876ce928f4d2f963c759950bc3d79b16c005a9
jev-pilot-20260920:DF:5,5,DF,CB,cb-ball-playing,school,FAST,random,79,59,71,28,71,10,29,RETIRED,RETIRE,CAP,3,2,1,3,7,0,276,4550,0,0,63,7,3,3,2000000,632520000,3,0,36,BAND-SOLID,END-COMPLETE-SHORT,130,d3ba67ca8849a821b6812a1949ed4e2dc5a9c0744158dbcc0f3f5267e7553466
jev-pilot-20260920:MF:6,6,MF,DM,dm-box-to-box,street,FAST,random,64,55,61,28,61,10,29,RETIRED,RETIRE,CAP,6,2,1,1,8,1,284,5465,0,9,63,6,1,6,1200000,427120000,0,0,34,BAND-SOLID,END-COMPLETE-SHORT,127,14c6a1e0f6a06ad3b272bdad0792907f251c4ac6f92b2abe26256158aec04707
jev-pilot-20260920:FW:7,7,FW,W,w-inverted-winger,street,FAST,random,78,58,73,28,73,10,29,RETIRED,RETIRE,CAP,5,3,1,2,1,7,296,11460,36,23,64,17,6,5,2000000,544440000,2,0,56,BAND-SOLID,END-COMEBACK-PLAYER,167,b2fadf2cd78b55a4e1050746aa67a2083aefbc401063d63e8c177ef28ec7d8f6
jev-pilot-20260920:GK:8,8,GK,GK,gk-sweeper-keeper,street,FAST,random,76,62,72,28,72,10,29,RETIRED,RETIRE,CAP,3,3,1,1,0,9,319,7380,0,0,67,11,4,3,2000000,329580000,1,0,44,BAND-SOLID,END-COMEBACK-PLAYER,125,91a4bab7501fec4895d53106956f48acb513fbd08599fdf819a089329e10d0fe
jev-pilot-20260920:DF:9,9,DF,CB,cb-stopper,club-academy,FAST,random,77,63,74,27,73,10,29,RETIRED,RETIRE,CAP,7,3,1,1,2,7,303,13190,0,0,69,14,6,7,2000000,433720000,2,0,51,BAND-SOLID,END-COMEBACK-PLAYER,127,3ac34b917c33b3002ae316a292e727cbe257ff6a2d71c23c4d3b920236adfdf7
jev-pilot-20260920:MF:10,10,MF,CM,cm-playmaker,street,FAST,random,64,62,64,28,64,10,29,RETIRED,RETIRE,CAP,3,2,1,9,1,0,258,6690,0,12,63,8,2,3,1440000,698520000,0,0,54,BAND-SOLID,END-COMPLETE-SHORT,141,e6dd339db1ebace2f7a2bbe931fa329e967809a5b92dbbca3fe2468d4ce27020
jev-pilot-20260920:FW:11,11,FW,W,inside-forward,school,FAST,random,82,60,71,28,71,10,29,RETIRED,RETIRE,CAP,3,2,2,0,3,7,308,3850,12,10,62,8,4,3,1000000,246700000,0,0,23,BAND-COMPLETE,END-COMPLETE-SHORT,122,c89334e761ad5e9799772908c40f5460de3ebfd6707209fbcd95c0c5a1f5b894
jev-pilot-20260920:GK:12,12,GK,GK,gk-commander,school,FAST,random,65,64,65,28,65,10,29,RETIRED,RETIRE,CAP,8,2,1,4,1,5,290,2430,0,0,63,9,2,8,1200000,421920000,0,0,23,BAND-COMPLETE,END-COMPLETE-SHORT,127,19386124e3f804b50a4f729eec9087b889122262bd8c7c755960508d7f29459e
jev-pilot-20260920:DF:13,13,DF,CB,cb-stopper,club-academy,FAST,random,70,62,69,27,68,10,29,RETIRED,RETIRE,CAP,2,2,1,7,3,0,259,6305,0,0,65,12,6,2,2400000,1015800000,3,0,50,BAND-SOLID,END-COMPLETE-SHORT,156,a6bf50fc085f7ed299746e4a2308feb62f2a38a8e56168aaf18ec4786570b0c9
jev-pilot-20260920:MF:14,14,MF,CM,cm-playmaker,club-academy,FAST,random,81,62,76,28,76,10,29,RETIRED,RETIRE,CAP,5,2,1,1,9,0,279,11160,0,21,65,19,10,5,2000000,592240000,4,0,61,BAND-REMEMBERED,END-COMEBACK-PLAYER,168,c8aa8d411f8460942954b95af8ba76b226047fc86b655b491cb5f9bfe0e58607
jev-pilot-20260920:FW:15,15,FW,ST,st-poacher,street,FAST,random,78,63,76,28,76,10,29,RETIRED,RETIRE,CAP,3,2,2,0,10,0,279,13040,37,21,65,20,7,3,1200000,484400000,4,0,47,BAND-SOLID,END-COMEBACK-PLAYER,171,92c1a2ce4adc3c42da14b0faa1685803a69acc8bba5714605644a4bf7ab113f2
jev-pilot-20260920:GK:16,16,GK,GK,gk-sweeper-keeper,school,FAST,random,62,61,61,28,61,10,29,RETIRED,RETIRE,CAP,4,2,1,7,2,1,258,225,0,0,59,2,0,4,1200000,513200000,0,0,16,BAND-COMPLETE,END-COMPLETE-SHORT,99,854c27920c45d57dc0828ed5eed46d09dbf7f036c36a285d4faffc0c251cf3c7
jev-pilot-20260920:DF:17,17,DF,FB,fb-defensive,club-academy,FAST,random,58,57,58,28,58,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,327,14975,0,0,66,16,3,1,480000,221320000,0,0,49,BAND-SOLID,END-COMEBACK-PLAYER,144,d10d2573418617cbc8bd55a865aaa6ba3c3fa9d523d8ddabed321867e8152f51
jev-pilot-20260920:MF:18,18,MF,DM,dm-box-to-box,club-academy,FAST,random,61,55,61,28,61,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,322,12095,0,22,64,14,5,1,480000,208840000,0,2,57,BAND-SOLID,END-COMEBACK-PLAYER,141,4f2dfa835107a10eaa2d7810ae60d812e61cbd1d9e980ab5bdbdd650f5923428
jev-pilot-20260920:FW:19,19,FW,W,w-inverted-winger,street,FAST,random,83,58,73,28,73,10,29,RETIRED,RETIRE,CAP,5,2,1,2,8,0,274,5675,20,2,62,13,6,5,2000000,667600000,1,0,24,BAND-COMPLETE,END-COMPLETE-SHORT,146,e09e50fd191502c12ac1f8f8bc0eabbe5600f3e66ded7d402f96cfaf11e20b7d
jev-pilot-20260920:GK:20,20,GK,GK,gk-commander,school,FAST,random,70,62,68,28,68,10,29,RETIRED,RETIRE,CAP,7,2,1,1,6,3,291,5585,0,0,66,12,7,7,2000000,441640000,0,0,45,BAND-SOLID,END-NATIONAL-HERO,125,9ad21d40f48249a6b8d5896d944da7cbb871d0b1422545650c3bdc076b1f2bf3
jev-pilot-20260920:DF:21,21,DF,CB,cb-aerial-dominator,street,FAST,random,61,60,61,27,60,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,280,3175,0,0,60,6,1,1,700000,339600000,0,0,33,BAND-SOLID,END-ONE-CLUB-LEGEND,152,a1cc9512976901e5abb7510137ae98b273e52df7cd79b62a38062c359f573af7
jev-pilot-20260920:MF:22,22,MF,DM,dm-destroyer,club-academy,FAST,random,63,58,63,28,63,10,29,RETIRED,RETIRE,CAP,7,2,1,4,4,2,280,9905,0,17,64,0,0,7,1200000,378240000,0,0,51,BAND-SOLID,END-COMPLETE-SHORT,94,f94a5559db8889002018f50a956f7440bb509e28de3c2267e04e6d0ed3942401
jev-pilot-20260920:FW:23,23,FW,W,w-touchline-winger,street,FAST,random,77,61,74,28,74,10,29,RETIRED,RETIRE,CAP,6,3,1,5,2,3,280,10885,40,12,64,9,2,6,2000000,770800000,6,0,50,BAND-SOLID,END-COMEBACK-PLAYER,163,69ad93dfa577360ac6913dbbc3d2a8f8b95356a0ec761804d021a11ff8200009
jev-pilot-20260920:GK:24,24,GK,GK,gk-sweeper-keeper,club-academy,FAST,random,67,62,67,28,67,10,29,RETIRED,RETIRE,CAP,5,2,2,0,4,6,302,7310,0,0,67,3,1,5,700000,230180000,0,0,32,BAND-SOLID,END-COMPLETE-SHORT,92,7627cf6daa26e9d538c0728ca14b670887344b42a15347de672739b98c8ae58c
jev-pilot-20260920:DF:25,25,DF,FB,fb-overlapping,club-academy,FAST,random,76,58,73,28,73,10,29,RETIRED,RETIRE,CAP,3,3,1,1,0,9,314,15020,0,0,67,16,6,3,2000000,370700000,2,0,69,BAND-REMEMBERED,END-NATIONAL-HERO,168,0cc438e8daaaab1fb91e2743411452c1030b3f64f6086db8f3faec36a7476303
