seed,index,position,primaryPosition,archetypeId,backgroundId,mode,policy,truePotential,baseOvrStart,peakOvr,peakOvrAge,finalOvr,seasons,retiredAge,status,finalChoice,retireReason,clubs,firstTier,bestTier,seasonsInTier1,seasonsInTier2,seasonsInTier3,totalApps,totalMinutes,totalGoals,totalAssists,avgRatingTenths,injuries,severeInjuries,contracts,peakWageMinorPerWeek,totalIncomeMinor,nationalCallUps,captainSeasons,legacyScore,legacyBandId,legacyEndingId,commands,stateHash
jev-pilot-20260920:GK:0,0,GK,GK,gk-shot-stopper,school,FAST,opportunity,68,65,68,28,68,10,29,RETIRED,RETIRE,CAP,3,2,2,0,9,1,283,15150,0,0,67,11,7,3,1200000,566800000,0,0,60,BAND-REMEMBERED,END-NATIONAL-HERO,152,014aecb0658c86814dc4b0dd999f70af42f451f72903088143ef8dfe9040a8bc
jev-pilot-20260920:DF:1,1,DF,CB,cb-stopper,street,FAST,opportunity,73,62,71,27,70,10,29,RETIRED,RETIRE,CAP,2,2,2,0,10,0,282,9085,0,0,65,14,3,2,1200000,468400000,0,0,50,BAND-SOLID,END-COMEBACK-PLAYER,155,258b90c860bdbf4b7f92c993c602fca5d8b94ccbc537bc65010c00ce0a4a4fdf
jev-pilot-20260920:MF:2,2,MF,CM,am-playmaker,street,FAST,opportunity,75,62,73,28,73,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,286,12950,0,35,65,16,5,1,1200000,474000000,0,0,70,BAND-REMEMBERED,END-COMEBACK-PLAYER,158,c9bf2af14eb65dcbd264ac0c8d091ed7100aa7adcee6f553e3cb34fe7d00725d
jev-pilot-20260920:FW:3,3,FW,W,w-touchline-winger,school,FAST,opportunity,65,60,65,28,65,10,29,RETIRED,RETIRE,CAP,4,2,2,0,2,8,314,14995,40,22,65,15,8,4,700000,278080000,0,0,42,BAND-SOLID,END-COMEBACK-PLAYER,122,2c84ac91b8e4e3b7be51f744d16f4ed30ff1cdc7f038bea382d5aaa97415a5fe
jev-pilot-20260920:GK:4,4,GK,GK,gk-commander,club-academy,FAST,opportunity,64,63,64,28,64,10,29,RETIRED,RETIRE,CAP,2,3,3,0,0,10,321,18080,0,0,68,8,1,2,480000,178720000,2,0,51,BAND-SOLID,END-COMPLETE-SHORT,108,2654d5015204e468ed320234969c43b37cd46e201b40676120d2b373777abc1a
jev-pilot-20260920:DF:5,5,DF,CB,cb-ball-playing,school,FAST,opportunity,79,59,72,28,72,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,281,11210,0,0,66,12,7,1,1200000,400560000,0,0,53,BAND-SOLID,END-COMEBACK-PLAYER,143,8df14283e54748aafcf7e68cf7c9b569eb08f23c0e1edc1abb49ce99475a0900
jev-pilot-20260920:MF:6,6,MF,DM,dm-box-to-box,street,FAST,opportunity,64,55,63,28,63,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,278,10270,0,16,64,11,7,1,840000,373440000,0,0,51,BAND-SOLID,END-COMEBACK-PLAYER,138,c37eca161a600655b54841a59e31f341507c9f7587e5b78d03b7697a8a28ca82
jev-pilot-20260920:FW:7,7,FW,W,w-inverted-winger,street,FAST,opportunity,78,58,76,28,76,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,315,20475,82,39,66,15,5,1,660000,304940000,0,0,73,BAND-REMEMBERED,END-ONE-CLUB-LEGEND,173,8e483136c7fe1605876c58dcfedbfa9fde5bcff4fe12add84dcfb3e6af3698c1
jev-pilot-20260920:GK:8,8,GK,GK,gk-sweeper-keeper,street,FAST,opportunity,76,62,70,28,70,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,323,4625,0,0,65,16,7,1,660000,212460000,0,0,37,BAND-SOLID,END-COMPLETE-SHORT,126,658dc7e200286d498231c5ba95dbd4a3197d54b0823ece8a1764bc31e4a8952c
jev-pilot-20260920:DF:9,9,DF,CB,cb-stopper,club-academy,FAST,opportunity,77,63,72,27,71,10,29,RETIRED,RETIRE,CAP,4,3,1,2,0,8,303,10060,0,0,67,18,9,4,2400000,468460000,2,0,43,BAND-SOLID,END-COMEBACK-PLAYER,123,bf662a21e8e2d254a467057ae2faa954de63e82b17667fe86152776e86bf301f
jev-pilot-20260920:MF:10,10,MF,CM,cm-playmaker,street,FAST,opportunity,64,62,64,28,64,10,29,RETIRED,RETIRE,CAP,2,2,2,0,10,0,285,17440,0,28,64,8,2,2,840000,435680000,0,0,58,BAND-SOLID,END-COMEBACK-PLAYER,148,f3e5938e0aa96564d2eacf4c8417d8ec91bce11c78350ece214b53daaa27c3f5
jev-pilot-20260920:FW:11,11,FW,W,inside-forward,school,FAST,opportunity,82,60,72,28,72,10,29,RETIRED,RETIRE,CAP,3,2,2,0,1,9,322,11650,46,26,66,6,2,3,700000,215500000,0,0,46,BAND-SOLID,END-COMPLETE-SHORT,117,003321aac1c41fa172bde719099567810cfd298958b48bb80d294b64230da14a
jev-pilot-20260920:GK:12,12,GK,GK,gk-commander,school,FAST,opportunity,65,64,65,28,65,10,29,RETIRED,RETIRE,CAP,2,2,2,0,10,0,287,9870,0,0,66,9,3,2,1000000,482000000,1,0,58,BAND-SOLID,END-COMPLETE-SHORT,151,b0c5c4ef5f5724e08cfae2d02a41ec4efe98ef06ee8a432baf5118c66cf472cc
jev-pilot-20260920:DF:13,13,DF,CB,cb-stopper,club-academy,FAST,opportunity,70,62,68,28,68,10,29,RETIRED,RETIRE,CAP,4,2,1,2,8,0,277,10185,0,0,66,22,9,4,2400000,719400000,1,0,60,BAND-REMEMBERED,END-COMEBACK-PLAYER,170,d1f186b89eb12774838406e3bb0ccd06edd7e4c7d49888bae980ec7e068ffeea
jev-pilot-20260920:MF:14,14,MF,CM,cm-playmaker,club-academy,FAST,opportunity,81,62,77,28,77,10,29,RETIRED,RETIRE,CAP,3,2,2,0,10,0,288,14280,0,26,65,18,9,3,1200000,533440000,3,0,57,BAND-SOLID,END-COMEBACK-PLAYER,161,322c8413f542c8cc697727bb25d76ec8712f50c00aed13a0bf4364b6c515ddcb
jev-pilot-20260920:FW:15,15,FW,ST,st-poacher,street,FAST,opportunity,78,63,76,28,76,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,283,14260,42,26,65,21,6,1,1200000,515600000,4,0,47,BAND-SOLID,END-COMEBACK-PLAYER,169,5a32c21d47946452d707b4aa5ad47c91fdcfb4078a6e4493d71ccb05cc7459a1
jev-pilot-20260920:GK:16,16,GK,GK,gk-sweeper-keeper,school,FAST,opportunity,62,61,62,28,62,10,29,RETIRED,RETIRE,CAP,3,2,2,0,9,1,289,6300,0,0,65,8,2,3,840000,388960000,1,0,39,BAND-SOLID,END-COMPLETE-SHORT,122,cd0625d343cf79bf0388f78eac429aeadae320d4e2ea6f0dc516461a02fc89b9
jev-pilot-20260920:DF:17,17,DF,FB,fb-defensive,club-academy,FAST,opportunity,58,57,58,28,58,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,321,13900,0,0,68,14,6,1,480000,205680000,0,0,60,BAND-REMEMBERED,END-COMPLETE-SHORT,147,ce177c50f2bf4210285f6ca0673daa6915cdf41f1163e6d04e34a2cef07c56b2
jev-pilot-20260920:MF:18,18,MF,DM,dm-box-to-box,club-academy,FAST,opportunity,61,55,61,28,61,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,324,12640,0,21,64,16,6,1,480000,218160000,0,1,56,BAND-SOLID,END-PROMOTION-CAPTAIN,145,2dfe7774abe8ec5ff982b625acec5aca7def6339a672e3111251bc4b99431f58
jev-pilot-20260920:FW:19,19,FW,W,w-inverted-winger,street,FAST,opportunity,83,58,77,28,77,10,29,RETIRED,RETIRE,CAP,2,2,2,0,10,0,280,15945,52,30,65,16,3,2,1200000,542400000,5,0,60,BAND-REMEMBERED,END-NATIONAL-HERO,169,098ead9b78098dddb700be8bd6847a013189855889832a1da7bbdcb37ad8d2de
jev-pilot-20260920:GK:20,20,GK,GK,gk-commander,school,FAST,opportunity,70,62,68,28,68,10,29,RETIRED,RETIRE,CAP,8,2,2,0,1,9,314,4600,0,0,63,10,6,8,700000,203880000,0,0,27,BAND-COMPLETE,END-NATIONAL-HERO,116,a039a75a85948dcbb2e544cd76bab1e85d690ca609b24fb53b9d5391ab453582
jev-pilot-20260920:DF:21,21,DF,CB,cb-aerial-dominator,street,FAST,opportunity,61,60,61,28,61,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,283,8165,0,0,65,14,3,1,840000,395280000,0,0,50,BAND-SOLID,END-ONE-CLUB-LEGEND,150,dd8d455664ce589dd6bcd2a57ec676f6dc91720ae183b91a45af1e0dbe3c09c8
jev-pilot-20260920:MF:22,22,MF,DM,dm-destroyer,club-academy,FAST,opportunity,63,58,63,28,63,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,291,10225,0,19,63,4,1,1,700000,278080000,0,0,50,BAND-SOLID,END-COMPLETE-SHORT,102,a520fb2ba2763d12721beb7fa611074ca225199367ab54649dd536b7109eb50f
jev-pilot-20260920:FW:23,23,FW,W,w-touchline-winger,street,FAST,opportunity,77,61,75,27,74,10,29,RETIRED,RETIRE,CAP,2,3,2,0,0,10,317,15475,55,23,65,14,4,2,1000000,287760000,0,0,51,BAND-SOLID,END-COMEBACK-PLAYER,148,0b53feba2b113ace6065025fe920ce0806e9de4867ee7d6fbd325bff475f6a0a
jev-pilot-20260920:GK:24,24,GK,GK,gk-sweeper-keeper,club-academy,FAST,opportunity,67,62,67,28,67,10,29,RETIRED,RETIRE,CAP,4,2,2,0,3,7,310,7145,0,0,68,15,7,4,700000,206220000,1,0,41,BAND-SOLID,END-COMEBACK-PLAYER,125,38726c1e6f2d28e74f0a6b1fea46a2eddef3a223d8c0b0e52506c7a91a2d36a5
jev-pilot-20260920:DF:25,25,DF,FB,fb-overlapping,club-academy,FAST,opportunity,76,58,73,27,72,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,322,17760,0,0,68,21,7,1,660000,265420000,3,0,70,BAND-REMEMBERED,END-COMEBACK-PLAYER,163,2ae9a9f21460d670da5c9025d2ca2fa27a58d7e354660b36107c3cfd40cea909
jev-pilot-20260920:MF:26,26,MF,CM,cm-playmaker,school,FAST,opportunity,85,61,80,28,80,10,29,RETIRED,RETIRE,CAP,4,2,1,1,9,0,284,16560,0,34,65,11,2,4,2000000,676400000,5,0,64,BAND-REMEMBERED,END-COMEBACK-PLAYER,170,e9ca1df9d30e9874503457a5111286ed6175969c29a515b7b48d329fbc3368a3
jev-pilot-20260920:FW:27,27,FW,ST,st-target-man,club-academy,FAST,opportunity,71,61,71,27,70,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,327,16710,56,27,65,14,4,1,660000,296620000,0,3,57,BAND-SOLID,END-COMEBACK-PLAYER,142,4e1565abe29e9fee02a1d1147eb30d22a05fb069da504bb255270d3b9e2718b9
jev-pilot-20260920:GK:28,28,GK,GK,gk-commander,street,FAST,opportunity,66,62,66,28,66,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,292,15010,0,0,69,17,5,1,1200000,507200000,2,0,66,BAND-REMEMBERED,END-COMEBACK-PLAYER,160,d569b3bb48bf6c541e9149de8c17c65b817a10259e0b5cffff4fc0e23752de27
jev-pilot-20260920:DF:29,29,DF,CB,cb-ball-playing,school,FAST,opportunity,70,60,69,28,69,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,286,12055,0,0,66,20,7,1,1200000,441920000,3,3,60,BAND-REMEMBERED,END-PROMOTION-CAPTAIN,170,152d5cdc84dafa5af5ab9fd42f9987b796276270e27dca8eb675b2ed32c27ed2
jev-pilot-20260920:MF:30,30,MF,AM,am-shadow-striker,street,FAST,opportunity,84,61,76,28,76,10,29,RETIRED,RETIRE,CAP,7,2,2,0,7,3,302,9845,0,27,65,16,8,7,1200000,424000000,2,0,50,BAND-SOLID,END-NATIONAL-HERO,137,8667a7c2f74b4253af3f619adb3f4b332229fa723c74279d256733c2b5dd05d6
jev-pilot-20260920:FW:31,31,FW,W,inside-forward,street,FAST,opportunity,74,60,71,28,71,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,323,18640,68,47,66,10,4,1,660000,264880000,0,0,65,BAND-REMEMBERED,END-ONE-CLUB-LEGEND,159,ba7b8fb5242eee3aa0dddad36a1c5204df1db8af19827236e1b7c08d1fe2ba23
jev-pilot-20260920:GK:32,32,GK,GK,gk-shot-stopper,club-academy,FAST,opportunity,68,67,68,28,68,10,29,RETIRED,RETIRE,CAP,2,3,2,0,0,10,318,19710,0,0,69,15,2,2,1000000,312160000,1,0,71,BAND-REMEMBERED,END-COMPLETE-SHORT,151,ce4d88ee7c7149297886a42865cf2379eac53e5776b5ca6404c5a90f8bb56ab8
jev-pilot-20260920:DF:33,33,DF,CB,cb-ball-playing,club-academy,FAST,opportunity,62,58,62,28,62,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,321,10470,0,0,65,11,5,1,400000,193200000,0,0,50,BAND-SOLID,END-COMEBACK-PLAYER,134,3349f2480d7bbd6f22372da86600102ec944c227696a3542151bd8567efc1922
jev-pilot-20260920:MF:34,34,MF,DM,cm-box-to-box,school,FAST,opportunity,65,54,65,28,65,10,29,RETIRED,RETIRE,CAP,3,2,1,1,9,0,286,15070,0,23,64,9,2,3,1200000,421080000,0,0,54,BAND-SOLID,END-COMEBACK-PLAYER,141,e7a54bbd915c5a908030bace38beccd3ceaa9f80edc0465b0537fd1766a5ce8e
jev-pilot-20260920:FW:35,35,FW,ST,st-poacher,club-academy,FAST,opportunity,87,63,81,28,81,10,29,RETIRED,RETIRE,CAP,3,3,2,0,1,9,324,16195,61,34,66,16,10,3,1000000,348120000,4,0,56,BAND-SOLID,END-COMEBACK-PLAYER,175,e41f2dc5d075c2f71114c75d872a9eadad8965e48446ba54da1f02ae92f21eb1
jev-pilot-20260920:GK:36,36,GK,GK,gk-sweeper-keeper,street,FAST,opportunity,64,62,64,28,64,10,29,RETIRED,RETIRE,CAP,4,2,2,0,6,4,304,5470,0,0,65,8,3,4,840000,322600000,0,0,27,BAND-COMPLETE,END-COMPLETE-SHORT,111,95b83cd25bcbefa8bde4c936bbd2aef1035df0c6006f2f29f4a44b67aeacc7f2
jev-pilot-20260920:DF:37,37,DF,CB,cb-aerial-dominator,club-academy,FAST,opportunity,63,62,63,28,63,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,320,16210,0,0,67,14,7,1,480000,222320000,0,0,64,BAND-REMEMBERED,END-ONE-CLUB-LEGEND,143,8752af2ec766f321c76f395c8a858ce71e122f10bb07fe4050d21a189c52a315
jev-pilot-20260920:MF:38,38,MF,DM,cm-box-to-box,club-academy,FAST,opportunity,62,55,62,28,62,10,29,RETIRED,RETIRE,CAP,1,3,3,0,0,10,318,14175,0,14,63,22,10,1,480000,205680000,0,0,54,BAND-SOLID,END-COMPLETE-SHORT,153,ee3069ec13b2003babbce7860321af0dc09dd1c1db8b6cb2012407c31a2e6a62
jev-pilot-20260920:FW:39,39,FW,ST,st-false-nine,club-academy,FAST,opportunity,76,58,74,28,74,10,29,RETIRED,RETIRE,CAP,1,2,2,0,10,0,288,17160,54,25,65,7,1,1,1200000,450480000,1,0,58,BAND-SOLID,END-COMEBACK-PLAYER,113,158654d4b5eb8ac18f97ce27e6d3da6260c9f2096c4f08544004612f40bbbd03
